ID_OfGrPart,Factor1,Factor2,Factor3,Factor4
1080405-114,-0.6802266178115204,0.41503162323822446,0.0446510149101842,-0.26254730355449885
1080405-125,0.12320606763153545,-0.40494327946510345,-0.3664628706996648,0.5661878038005508
1080405-134,-2.7545498518553537,-0.44385344938267507,-0.7634056493193919,-0.0752438733307512
1080405-168,0.8490780976046993,0.9309975845850778,-0.2024931254141093,-0.439632177098397
1080406-110,0.652302485199298,0.660506223209971,1.5257417515146208,1.3114549110456402
1080406-156,0.889320072923279,1.1981406440919427,1.4862147935148775,1.8170369800519064
1080406-159,0.08474676665400638,0.1154382665183875,-0.13823892838348387,0.18992590986189462
1080406-174,-0.8306247409737101,0.8802111063127288,-1.4027031760710222,-1.8106221956161415
1080407-103,-1.407600264206536,-0.8325170876688623,0.43650551268828225,0.09366674171627201
1080407-158,-1.2038638448719676,0.5931176351885419,0.6196516071842637,-1.313126900487016
1080407-165,-1.9633965022607651,-0.6609871001003078,-0.5364879438566118,-0.10031118463872118
1080408-145,1.2402053995977989,-0.11570549582589117,-1.2562580690432923,1.5924809951706669
1080408-161,-0.9276703413613204,-1.1307314471760415,0.895748451664651,2.0333148462631945
1080408-178,-0.3322432277914426,-0.6899896037224824,0.4907529339177533,1.393880751087173
1080408-183,0.8870788285301074,0.8665695971999824,-0.9613840899452996,0.6038796903089041
1080409-170,0.889320072923279,1.1981406440919427,1.4862147935148775,1.8170369800519064
1080409-187,0.37786199006692395,0.9042736695263118,0.3830764453395706,0.1274869991461202
1080410-104,-0.22666464637922437,-0.323081147974792,1.0807686502218965,0.6589003296514128
1080423-117,0.5552014032548718,1.1250887961787,1.4849408031489937,1.7506306693616807
1080410-136,0.9314999170797005,1.174511440920336,0.5255658524708898,0.38859677724206604
1080410-150,-0.3442447786982485,-0.3467947563423857,0.8586785543972343,-0.4993490205575007
1080410-176,-0.3223201983747078,-0.12936314414472208,0.630663032863306,-0.9598353111352442
1080411-109,-0.30410550960130084,-0.6456531441321776,0.7965841561052835,0.33720212949617107
1080411-160,0.682854304758513,0.885116873674385,0.2996689093136806,0.9271684277750252
1080411-175,-0.0473258417211558,0.3176325525027895,-0.39226489519744046,0.0011912756002008813
1080412-137,-0.8900570438766279,-0.8546791066331642,1.108835389284671,-0.12666633676705966
1080412-152,0.8536923472241955,0.9142188557945706,-0.044003563188425646,0.14085680868717435
1080412-185,-1.2701972974417823,0.5973668679895531,-0.2710402882247546,-0.45045159901666004
1080413-127,0.014304759457724274,1.137841546960621,1.3645605684811157,-1.1903103799971682
1080413-139,-0.5400453743350829,-0.77469792071524,0.060389365565874466,-0.5311563498367369
1080413-166,0.6308773015328951,-0.407148933288043,0.9108658873736314,-0.4185951013210689
1080413-179,0.3880768394670344,0.8198222198681709,1.27700809098807,-0.334381290474708
1080414-131,0.8734436052147591,0.06623966478660101,-0.5665269429055066,0.19053206467574038
1080414-151,0.7450356826436648,0.24607590359652737,-0.3791625731158913,0.12134020118367905
1080414-171,1.0038920845820491,0.9438772185500282,-1.3301375065691938,1.0111471190426826
1080415-102,-1.1438278036989566,-1.4267071619807126,0.5432887768077789,0.1435422806443307
1080415-124,0.30088824779624446,1.0378372369601372,0.9075465389366879,-0.7549913993726639
1080415-130,-0.628923219233442,-0.86238508606512,1.3277348516286522,1.0562626491417986
1080415-164,-0.15596376000763906,-1.6302958453426635,-0.09547163693396774,-1.2101028584692506
1080416-112,0.5304970388450896,0.6769576798776615,0.45027043928533084,0.6973098306878486
1080416-119,-0.8035967600407006,-0.3393436423938238,-0.7308236314883355,-0.24987150032320057
1080416-126,-1.4302464934574006,-1.0868033997416584,-1.7209761212003425,-1.1084864381640667
1080416-186,0.889320072923279,1.1981406440919427,1.4862147935148775,1.8170369800519064
1080417-111,1.3600703405146644,-1.2221617796099484,-1.2028467572337243,-1.6093587425834346
1080417-135,0.6342307065729922,0.6038190349444087,0.43255030230304475,0.6279391053433004
1080417-149,1.0605753024521516,-0.1956692263411094,-0.10263406165559888,-0.8318648109677236
1080417-162,0.6204294461712175,0.7084326334397761,0.6462171414672256,0.35843113112437996
1080421-118,0.9252486750167153,0.7944257010701511,-0.49326702914084375,-1.1494958327680007
1080418-141,0.8096803765464319,0.9277063179180383,1.4184923549814752,1.835113339176988
